92,83,16112,1
94,94,6629,1
100,98,6693,1
95,98.6,6474,1
88,90,7764,1
93.6,91.6,4388,1
92,68,8119,1
92,93.8,9949,1
100,94,9233,1
100,98,8511,1
99,95.5,7560,1
98,93,10080,1
98,88.2,6494,1
95.2,90,3724,1
100,92.6,10185,1
71,70,38000,0
95,95,7638,1
100,90,6410,1
95,91,23493,1
98,87,6205,1
100,89.8,9546,1
100,96,20603,1
94,91,10197,1
100,96.5,7354,1
80,76,27989,0
91,92,10314,1
93,96.75,7286,1
82,78,32000,0
98,85.6,6700,1
93,89.58,21299,1
74,74.6,11567,1
94,92.8,12660,1
100,97,5679,1
88,88,6996,1
94,89.6,7171,1
98,89,4935,1
96,97,8936,1
94,95,5896,1
100,90.8,8466,1
100,93,6576,1
100,88.8,9996,1
78,78,45000,0
96,93,7900,1
98,93,13304,1
76,79,31000,0
83,69,29000,0
95,97,8599,1
98.88,95.3,7895,1
100,96,10817,1
80,92.5,10144,1
95,96,5272,1
100,95.2,7378,1
95,93.8,2100,1
98,86,6765,1
95,93.83,10856,1
70,85,9971,1
70,67.2,8900,1
